date,none_pct,low_pct,medium_pct,high_pct,total_pixels
2019-02-13,0.0,128.62745098039215,0.0,0.0,3
2019-02-28,0.42241157141936725,99.55646113867233,0.02053669222343921,0.0,14608
2019-03-15,0.5265256330149662,99.48775625576484,0.015174506828528073,0.0,6590
2019-03-18,0.7208936987257812,98.68330715075348,0.2967359050445104,0.0,674
2019-03-20,19.471853257432002,80.0506008855155,0.4032258064516129,0.0,496
2019-03-27,1.5800602917285653,98.41740293813581,0.004430660168365087,0.0,22570
2019-04-01,0.07176175098672408,100.00534695399506,0.0,0.0,2787
2019-04-02,0.2506728181468666,99.79407920030756,0.0,0.0,2550
2019-04-04,1.0362195446152076,99.03290007831639,0.0,0.0,2729
2019-04-06,0.8261211644374508,99.23851838138876,0.0,0.0,2542
2019-04-09,0.0,100.06150286201441,0.0,0.0,644
2019-04-11,0.0,100.02731419161759,0.0,0.0,9002
2019-04-12,0.0,100.00865808501977,0.0,0.0,26678
2019-04-16,3.6161831813272913,96.38044584277517,0.06367398917542184,0.0,3141
2019-04-17,0.5122985694963231,99.50398158349681,0.005710370031978072,0.0,17512
2019-04-21,0.28684116170670493,99.7914777241122,0.0,0.0,2789
2019-04-29,0.08099004786248334,99.94965858326354,0.0,0.0,11311
2019-05-06,56.3706335348289,43.47583195888898,0.1531043623317566,0.0,43761
2019-05-07,51.37624629265696,48.47428550834322,0.15242771343589875,0.0,46245
2019-05-16,35.351121498579396,63.153404870659976,1.488277989007095,0.009541802637354248,104802
2019-05-17,11.29792487960967,88.33470695425383,0.36289794314162194,0.009111156104474591,98780
2019-05-19,17.875579881087038,80.9920241677499,1.1362739162378388,0.003674456703311364,104057
2019-06-03,42.48467157348139,19.367626053917913,24.719449202406377,13.43589225488564,114119
2019-06-05,18.292380561909287,35.10861637391565,41.54807014515264,5.055730582768691,109040
2019-06-08,27.87354151197888,47.547390501649595,14.61785222143271,9.968869214805167,114161
2019-06-13,38.70987788231793,45.00484111406936,16.29249501074114,0.0002610783532208051,114157
2019-06-15,3.7987529495583887,22.597930147724398,63.95537797802769,9.655424250325229,114158
2019-06-16,5.5765878531178315,78.43141035422796,15.994307910361789,0.0,114104
2019-06-18,7.817527753931687,52.10704874461912,38.85048895081425,1.232588201629046,114158
2019-06-20,91.41167642017606,8.565857100481002,0.030185466970410718,0.0,114157
2019-06-25,0.0,6.5702094212599595,87.41733818814429,6.019937978520245,114154
2019-06-28,0.04331296020020213,41.23874437080926,56.260685514881544,2.469908187218933,62337
2019-07-08,15.434340269923652,84.43982314245234,0.1334899034112388,0.0,114163
2019-07-10,16.42715188963561,83.44656152975647,0.13393989639512688,0.0,114163
2019-07-11,3.6096410481538865,80.98354726034151,15.414465007291783,0.0,114163
2019-07-13,0.0,90.53204518755662,9.47302195908253,0.0,112915
2019-07-16,0.5696498968708827,98.34290598942391,1.0949188063231912,0.0,114163
2019-07-20,0.0,0.9219224480261621,53.27826098904862,45.80782390040812,114160
2019-07-21,0.0,5.600568021677983,52.343472430973705,42.063612863135305,114163
2019-07-28,0.0,3.6806279071604817,51.831494357347744,44.495819665964824,114162
2019-08-04,0.0,0.030805086892638188,16.94453246633918,83.03231562848072,114165
2019-08-17,0.0,26.89590487795874,72.98649100072751,0.12525730302632154,114165
2019-08-19,0.3868016965468796,98.72384568946052,0.8968271756650806,0.0,114165
2019-08-20,1.0396364586115547,46.73522780629106,52.1902696304702,0.03863052088216638,106154
2019-09-13,0.0,0.009817232196605703,23.38496998238701,76.6128659671288,114165
2019-09-14,0.0008759251959882626,13.87390283928576,85.31984408531524,0.8130303319155371,114165
2019-09-16,0.0,4.326036071827203,55.3581230404626,40.32056011598563,114010
2019-09-18,0.08707039948200189,31.03034050303865,68.43124030149009,0.45900197770169265,114165
2019-09-21,33.0903997739769,66.90073792404017,0.016515483695339474,0.0,114165
2019-09-24,0.43928578506999966,20.498671565237256,74.38203356744808,4.686452190778601,112782
2019-09-26,0.6423710041759083,29.85436663728937,68.69236638872547,0.8187345002085977,114067
2019-10-14,0.0,0.09459619250325174,31.858513773252,68.04373682782796,8457
